date_start,date_end,name,ages,location,id,desc,detail_url,total_open,age_max_year,age_max_month,age_max_week,age_min_year,age_description,days_of_week,time_range_landing_page,date_range_start,date_range_end,date_range,number,time_range
2024-07-08,2024-07-12,3D Printing and Designing – Wize Academy,At least 6 but less than 14,Bridlewood Cmty Elementary School,73808,"<font face=""Calibri, sans-serif"">3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.</font>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/73808,20,14,0,0,6,"Age at least 6 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",12:30 PM - 4:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,79215,12:30 PM - 4:00 PM
2024-07-08,2024-07-12,3D Printing and Designing – Wize Academy,At least 6 but less than 14,Richcraft Rec Complex-Kanata,85041,"3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/85041,20,14,0,0,6,"Age at least 6 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",12:30 PM - 4:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,90448,12:30 PM - 4:00 PM
2024-07-15,2024-07-19,3D Printing and Designing – Wize Academy,At least 6 but less than 14,Richcraft Rec Complex-Kanata,85047,"3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/85047,20,14,0,0,6,"Age at least 6 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",9:00 AM - 12:30 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,90454,9:00 AM - 12:30 PM
2024-07-08,2024-07-26,Advanced Leadership Program,At least 14 but less than 18,Metcalfe Cmty Centre,77928,"Get job ready. Team building, communication, programming and leadership skills. Complete Standard First Aid/CPR 'C'/AED, High Five and ALP certificates. Includes an outing and placement in City of Ottawa program. 40+ eligible hours for secondary school community involvement.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/advanced-leadership-program/77928,20,18,0,0,14,"Age at least 14 yrs but less than 18 yrs,","Mon,Tue,Wed,Thu,Fri",9:00 AM - 4:00 PM,2024-07-08,2024-07-26,8 July 2024 to 26 July 2024,83335,9:00 AM - 4:00 PM
2024-07-08,2024-07-12,Adventures at Stevens Creek Farm,At least 10 but less than 15,Alfred Taylor Rec Centre,80557,"Enjoy a fun week on the farm. Learn about farm tools, chores, and how to care for animals. Finish the week off with an introductory riding lesson. Mornings will be spent at the farm and afternoons will be at the community centre participating in fun camp games and activities. Camp offered in collaboration with Stevens Creek Farm.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/adventures-at-stevens-creek-farm/80557,18,15,0,0,10,"Age at least 10 yrs but less than 15 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,85964,8:00 AM - 5:00 PM
2024-07-22,2024-07-26,Aikido,At least 7 but less than 13,Bob MacQuarrie Rec Cplx - Orléans,81778,"The Japanese Aikido martial art form teaches discipline, confidence, respect, responsibility, and how to fall safely. Includes swim time.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/aikido/81778,30,13,0,0,7,"Age at least 7 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-22,2024-07-26,22 July 2024 to 26 July 2024,87185,8:00 AM - 5:00 PM
2024-07-02,2024-07-05,Animal Planet,At least 6 but less than 13,Pat Clark Cmty Centre,69193,"Learn about animals and bugs with special guests, excursions along with games and activities.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/animal-planet/69193,25,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,74600,8:00 AM - 5:00 PM
2024-08-12,2024-08-16,Animal Planet,At least 6 but less than 13,Pat Clark Cmty Centre,69205,"Learn about animals and bugs with special guests, excursions along with games and activities.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/animal-planet/69205,25,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-12,2024-08-16,12 August 2024 to 16 August 2024,74612,8:00 AM - 5:00 PM
2024-08-06,2024-08-09,Animal Planet,At least 6 but less than 9,Nepean Sportsplex,79734,"<div><div>Learn about animals and bugs with special guests, excursions along with games and activities.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/animal-planet/79734,24,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-06,2024-08-09,6 August 2024 to 9 August 2024,85141,8:00 AM - 5:00 PM
2024-07-15,2024-07-19,Animate This,At least 9 but less than 15,Shenkman Arts Centre,77201,"The world of animation comes to life - drawn, claymation, stop motion, cameraless, and painted film using video camera, still digital camera, and 16mm film. Create your very own animated short.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/animate-this/77201,12,15,0,0,9,"Age at least 9 yrs but less than 15 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,82608,8:00 AM - 5:00 PM
2024-08-19,2024-08-23,Animate This,At least 9 but less than 15,Shenkman Arts Centre,77352,"The world of animation comes to life - drawn, claymation, stop motion, cameraless, and painted film using video camera, still digital camera, and 16mm film. Create your very own animated short.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/animate-this/77352,12,15,0,0,9,"Age at least 9 yrs but less than 15 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-19,2024-08-23,19 August 2024 to 23 August 2024,82759,8:00 AM - 5:00 PM
2024-07-02,2024-07-05,Animate This,At least 9 but less than 15,Nepean Creative Arts Centre,73177,"The world of animation comes to life - drawn, claymation, stop motion, cameraless, and painted film using video camera, still digital camera, and 16mm film. Create your very own animated short.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/animate-this/73177,12,15,0,0,9,"Age at least 9 yrs but less than 15 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,78584,8:00 AM - 5:00 PM
2024-08-06,2024-08-09,Animate This,At least 9 but less than 15,Nepean Creative Arts Centre,73178,"The world of animation comes to life - drawn, claymation, stop motion, cameraless, and painted film using video camera, still digital camera, and 16mm film. Create your very own animated short.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/animate-this/73178,12,15,0,0,9,"Age at least 9 yrs but less than 15 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-06,2024-08-09,6 August 2024 to 9 August 2024,78585,8:00 AM - 5:00 PM
2024-07-08,2024-07-12,Art of Puppetry,At least 6 but less than 10,Nepean Creative Arts Centre,73179,Explore 'being' through creating and manipulating puppets of all sizes and materials - of your creation. Create characters and tell stories through these fascinating personas.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/art-of-puppetry/73179,16,10,0,0,6,"Age at least 6 yrs but less than 10 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,78586,8:00 AM - 5:00 PM
2024-07-02,2024-07-05,Artistic Flight,At least 6 but less than 9,Nepean Creative Arts Centre,73082,"Sample what the arts centre has to offer - dance, act, improvise, tell stories, make music and create works of art. Creative direction provided by emerging and professional artists.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/artistic-flight/73082,16,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,78489,8:00 AM - 5:00 PM
2024-07-15,2024-07-19,Artistic Flight,At least 6 but less than 9,Nepean Creative Arts Centre,73094,"Sample what the arts centre has to offer - dance, act, improvise, tell stories, make music and create works of art. Creative direction provided by emerging and professional artists.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/artistic-flight/73094,16,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,78501,8:00 AM - 5:00 PM
2024-07-22,2024-07-26,Artistic Flight,At least 6 but less than 9,Nepean Creative Arts Centre,73095,"Sample what the arts centre has to offer - dance, act, improvise, tell stories, make music and create works of art. Creative direction provided by emerging and professional artists.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/artistic-flight/73095,16,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-22,2024-07-26,22 July 2024 to 26 July 2024,78502,8:00 AM - 5:00 PM
2024-07-29,2024-08-02,Artistic Flight,At least 6 but less than 9,Nepean Creative Arts Centre,73096,"Sample what the arts centre has to offer - dance, act, improvise, tell stories, make music and create works of art. Creative direction provided by emerging and professional artists.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/artistic-flight/73096,16,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-29,2024-08-02,29 July 2024 to 2 August 2024,78503,8:00 AM - 5:00 PM
2024-08-12,2024-08-16,Artistic Flight,At least 6 but less than 9,Nepean Creative Arts Centre,73097,"Sample what the arts centre has to offer - dance, act, improvise, tell stories, make music and create works of art. Creative direction provided by emerging and professional artists.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/artistic-flight/73097,16,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-12,2024-08-16,12 August 2024 to 16 August 2024,78504,8:00 AM - 5:00 PM
2024-08-19,2024-08-23,Artistic Flight,At least 6 but less than 9,Nepean Creative Arts Centre,73098,"Sample what the arts centre has to offer - dance, act, improvise, tell stories, make music and create works of art. Creative direction provided by emerging and professional artists.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/artistic-flight/73098,16,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-19,2024-08-23,19 August 2024 to 23 August 2024,78505,8:00 AM - 5:00 PM
2024-08-06,2024-08-09,Artistic Flight,At least 6 but less than 9,Nepean Creative Arts Centre,73101,"Sample what the arts centre has to offer - dance, act, improvise, tell stories, make music and create works of art. Creative direction provided by emerging and professional artists.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/artistic-flight/73101,16,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-06,2024-08-09,6 August 2024 to 9 August 2024,78508,8:00 AM - 5:00 PM
2024-07-08,2024-07-12,Artistic Flight,At least 6 but less than 9,Nepean Creative Arts Centre,73092,"Sample what the arts centre has to offer - dance, act, improvise, tell stories, make music and create works of art. Creative direction provided by emerging and professional artists.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/artistic-flight/73092,16,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,78499,8:00 AM - 5:00 PM
2024-07-02,2024-07-05,Arts and Swim,At least 8 but less than 13,Plant Rec Centre,76980,"<div>Explore dance, drama, visual arts, or music. Daily art instruction. Camp activities including swimming throughout the week.</div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/arts-and-swim/76980,24,13,0,0,8,"Age at least 8 yrs but less than 13 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,82387,8:00 AM - 5:00 PM
2024-07-15,2024-07-19,Arts Camp,At least 9 but less than 14,Arch Street Public School,76097,"<div><div>Explore dance, drama, visual arts, or music. Daily art instruction. Camp activities each day.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/arts-camp/76097,24,14,0,0,9,"Age at least 9 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,81504,8:00 AM - 5:00 PM
2024-07-22,2024-07-26,Arts Camp,At least 6 but less than 13,Pat Clark Cmty Centre,69199,"<div>Explore dance, drama, visual arts, or music. Daily art instruction. Camp activities each day.</div><div><br></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/arts-camp/69199,20,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-22,2024-07-26,22 July 2024 to 26 July 2024,74606,8:00 AM - 5:00 PM
2024-07-22,2024-07-26,Aventure de chef cuisinier,At least 6 but less than 13,South Fallingbrook Cmty Centre,75908,Prépare-toi à passer une semaine d’ateliers qui te permettront de t’initier à la cuisine en apprenant les techniques de base. Le camp comprendra des activités de camp quotidiennes et une excursion pendant la semaine.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/aventure-de-chef-cuisinier/75908,24,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-22,2024-07-26,22 July 2024 to 26 July 2024,81315,8:00 AM - 5:00 PM
2024-08-19,2024-08-23,Aventure de chef cuisinier,At least 7 but less than 13,Bob MacQuarrie Rec Cplx - Orléans,81772,Prépare-toi à passer une semaine d’ateliers qui te permettront de t’initier à la cuisine en apprenant les techniques de base. Le camp comprendra des activités de camp quotidiennes et une excursion pendant la semaine.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/aventure-de-chef-cuisinier/81772,30,13,0,0,7,"Age at least 7 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-19,2024-08-23,19 August 2024 to 23 August 2024,87179,8:00 AM - 5:00 PM
2024-08-06,2024-08-09,Aventure de chef cuisinier,At least 8 but less than 13,N/A,80087,Prépare-toi à passer une semaine d’ateliers qui te permettront de t’initier à la cuisine en apprenant les techniques de base. Le camp comprendra des activités de camp quotidiennes et une excursion pendant la semaine.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/aventure-de-chef-cuisinier/80087,20,13,0,0,8,"Age at least 8 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-06,2024-08-09,6 August 2024 to 9 August 2024,85494,8:00 AM - 5:00 PM
2024-08-12,2024-08-16,Aventure imagénieurs,At least 6 but less than 13,South Fallingbrook Cmty Centre,75911,Laissez libre cours à votre imagination lorsque vous créez et concevez des structures étonnantes utilisant différents supers matériaux.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/aventure-imag-nieurs/75911,24,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-12,2024-08-16,12 August 2024 to 16 August 2024,81318,8:00 AM - 5:00 PM
2024-07-29,2024-08-02,Aventure Nerf®,At least 6 but less than 13,South Fallingbrook Cmty Centre,75909,"Découvre le monde de Nerf et ses jeux de tir avec lanceurs, ses sports et ses activités de camp habituelles. Tu n’as qu’à apporter ton lanceur; nous fournirons les lunettes protectrices obligatoires. Des jeux actifs et une excursion sont au programme.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/aventure-nerf/75909,24,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-29,2024-08-02,29 July 2024 to 2 August 2024,81316,8:00 AM - 5:00 PM
2024-08-06,2024-08-09,Babysitting,At least 12 but less than 15,McNabb Rec Centre,79417,Looking forward to your first job? Is babysitting up your alley? Learn the skills required to be hired. Includes half-day instruction and camp activities.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/babysitting/79417,16,15,0,0,12,"Age at least 12 yrs but less than 15 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-06,2024-08-09,6 August 2024 to 9 August 2024,84824,8:00 AM - 5:00 PM
2024-07-08,2024-07-12,Badminton,At least 8 but less than 13,Richcraft Rec Complex-Kanata,84174,"<div><div>Grip, smash, serve, net play, drop shots, rules and game play for singles and doubles.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/badminton/84174,36,13,0,0,8,"Age at least 8 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,89581,8:00 AM - 5:00 PM
2024-07-29,2024-08-02,Badminton,At least 8 but less than 13,Richcraft Rec Complex-Kanata,84180,"<div><div>Grip, smash, serve, net play, drop shots, rules and game play for singles and doubles.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/badminton/84180,36,13,0,0,8,"Age at least 8 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-29,2024-08-02,29 July 2024 to 2 August 2024,89587,8:00 AM - 5:00 PM
2024-08-19,2024-08-23,Badminton,At least 8 but less than 13,Richcraft Rec Complex-Kanata,84187,"<div><div>Grip, smash, serve, net play, drop shots, rules and game play for singles and doubles.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/badminton/84187,36,13,0,0,8,"Age at least 8 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-19,2024-08-23,19 August 2024 to 23 August 2024,89594,8:00 AM - 5:00 PM
2024-08-19,2024-08-23,Badminton,At least 6 but less than 13,Eva James Memorial Cmty Centre,74327,"Grip, smash, serve, net play, drop shots, rules and game play for singles and doubles.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/badminton/74327,32,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-19,2024-08-23,19 August 2024 to 23 August 2024,79734,8:00 AM - 5:00 PM
2024-07-08,2024-07-12,Badminton,At least 6 but less than 13,Eva James Memorial Cmty Centre,74310,"Grip, smash, serve, net play, drop shots, rules and game play for singles and doubles.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/badminton/74310,32,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,79717,8:00 AM - 5:00 PM
2024-07-29,2024-08-02,Badminton Adventure,At least 6 but less than 13,Eva James Memorial Cmty Centre,74333,"Learn all there is to know about badminton including: grip, smash, serve, net play, drop shots, rules, and gameplay for singles and doubles. Camp activities each day with an out trip during the week.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/badminton-adventure/74333,32,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-29,2024-08-02,29 July 2024 to 2 August 2024,79740,8:00 AM - 5:00 PM
2024-08-19,2024-08-23,Badminton Adventure,At least 8 but less than 13,Hunt Club-Riverside Park Cmty Centre,74619,"Learn all there is to know about badminton including: grip, smash, serve, net play, drop shots, rules, and gameplay for singles and doubles. Camp activities each day with an out trip during the week.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/badminton-adventure/74619,20,13,0,0,8,"Age at least 8 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-19,2024-08-23,19 August 2024 to 23 August 2024,80026,8:00 AM - 5:00 PM
2024-07-15,2024-07-19,Badminton Adventure,At least 6 but less than 13,Routhier Cmty Centre,84849,"Learn all there is to know about badminton including: grip, smash, serve, net play, drop shots, rules, and gameplay for singles and doubles. Camp activities each day with an out trip during the week.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/badminton-adventure/84849,24,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,90256,8:00 AM - 5:00 PM
2024-07-15,2024-07-19,Badminton and Swim,At least 8 but less than 13,CardelRec Cplx (Goulbourn),85049,"<div><div><div>Grip, smash, serve, net play, drop shots, rules and gameplay for singles and doubles. Camp activities including swimming throughout the week.</div></div></div><div><br></div><div><br></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/badminton-and-swim/85049,24,13,0,0,8,"Age at least 8 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,90456,8:00 AM - 5:00 PM
