name,ages,location,id,desc,detail_url,total_open,age_max_year,age_max_month,age_max_week,age_min_year,age_description,days_of_week,time_range_landing_page,date_range_start,date_range_end,date_range,number,time_range
3D Printing and Designing – Wize Academy,At least 6 but less than 14,Bridlewood Cmty Elementary School,73808,"<font face=""Calibri, sans-serif"">3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.</font>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/73808,20,14,0,0,6,"Age at least 6 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",12:30 PM - 4:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,79215,12:30 PM - 4:00 PM
3D Printing and Designing – Wize Academy,At least 6 but less than 14,Richcraft Rec Complex-Kanata,85041,"3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/85041,20,14,0,0,6,"Age at least 6 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",12:30 PM - 4:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,90448,12:30 PM - 4:00 PM
3D Printing and Designing – Wize Academy,At least 6 but less than 14,Richcraft Rec Complex-Kanata,85047,"3D design and printing teaches important STEAM concepts and design thinking. Using easy, intuitive and engaging software, children will transition from drawing in 2D to designing in 3D. No CAD or computer experience necessary. Participants get to take home the objects they design and print. Camp offered in collaboration with Wize Academy.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/3d-printing-and-designing-wize-academy/85047,20,14,0,0,6,"Age at least 6 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",9:00 AM - 12:30 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,90454,9:00 AM - 12:30 PM
Advanced Leadership Program,At least 14 but less than 18,Metcalfe Cmty Centre,77928,"Get job ready. Team building, communication, programming and leadership skills. Complete Standard First Aid/CPR 'C'/AED, High Five and ALP certificates. Includes an outing and placement in City of Ottawa program. 40+ eligible hours for secondary school community involvement.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/advanced-leadership-program/77928,20,18,0,0,14,"Age at least 14 yrs but less than 18 yrs,","Mon,Tue,Wed,Thu,Fri",9:00 AM - 4:00 PM,2024-07-08,2024-07-26,8 July 2024 to 26 July 2024,83335,9:00 AM - 4:00 PM
Adventures at Stevens Creek Farm,At least 10 but less than 15,Alfred Taylor Rec Centre,80557,"Enjoy a fun week on the farm. Learn about farm tools, chores, and how to care for animals. Finish the week off with an introductory riding lesson. Mornings will be spent at the farm and afternoons will be at the community centre participating in fun camp games and activities. Camp offered in collaboration with Stevens Creek Farm.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/adventures-at-stevens-creek-farm/80557,18,15,0,0,10,"Age at least 10 yrs but less than 15 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,85964,8:00 AM - 5:00 PM
After School Activity Club – Friday,At least 4 but less than 13,Rideauview Cmty Centre,66635,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66635,16,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,2:30 PM - 6:00 PM,2023-09-08,2024-06-21,8 September 2023 to 21 June 2024,72037,2:30 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,Rideauview Cmty Centre,66637,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66637,16,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,2:30 PM - 6:00 PM,2023-09-01,2024-06-14,1 September 2023 to 14 June 2024,72039,2:30 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,Bob MacQuarrie Rec Cplx - Orléans,66647,"<div>Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.</div><div><br></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66647,30,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,3:00 PM - 6:00 PM,2023-09-08,2024-06-21,8 September 2023 to 21 June 2024,72049,3:00 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,Greenboro Cmty Centre,66513,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66513,30,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,2:30 PM - 6:00 PM,2023-09-08,2024-06-21,8 September 2023 to 21 June 2024,71915,2:30 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,CardelRec Cplx (Goulbourn),66516,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66516,20,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,2:45 PM - 6:00 PM,2023-09-01,2024-06-14,1 September 2023 to 14 June 2024,71918,2:45 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,Manotick Cmty Centre,66521,"<div>Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.</div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66521,25,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,3:00 PM - 6:00 PM,2023-09-08,2024-06-21,8 September 2023 to 21 June 2024,71923,3:00 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,Manotick Cmty Centre,66531,"<div><span style=""font-size: 11pt; font-family: Calibri, sans-serif;"">Finish
the school day with fun! Get active with games and sports and be creative with
arts and crafts. Some quiet time for homework, too. Make new friends when you
join our Club. Registration is for Fridays only. The City of Ottawa is a
registered HIGH FIVE® organization. We commit to healthy child development and
safety for children's recreation programs.</span></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66531,25,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,4:00 PM - 6:00 PM,2023-09-08,2024-06-21,8 September 2023 to 21 June 2024,71933,4:00 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,CardelRec Cplx (Goulbourn),66532,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66532,20,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,2:45 PM - 6:00 PM,2023-09-08,2024-06-21,8 September 2023 to 21 June 2024,71934,2:45 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,Rideauview Cmty Centre,66539,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66539,16,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,2:30 PM - 6:00 PM,2023-09-08,2024-06-21,8 September 2023 to 21 June 2024,71941,2:30 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,Walter Baker Sports Centre,66545,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66545,30,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,2:45 PM - 6:00 PM,2023-09-08,2024-06-28,8 September 2023 to 28 June 2024,71947,2:45 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,South Fallingbrook Cmty Centre,66558,"<div><span style=""background-color: white;"">Finish the school day with fun! Get active  with games and sports and be creative with arts and crafts. Some quiet time for  homework, too. Make new friends when you join our Club. Registration is for  Fridays only. The City of Ottawa is a registered HIGH FIVE® organization.</span> We commit to healthy child development and safety for children's recreation programs.</div><br>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66558,24,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,3:00 PM - 6:00 PM,2023-09-08,2024-06-21,8 September 2023 to 21 June 2024,71960,3:00 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,Greenboro Cmty Centre,66589,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66589,30,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,2:30 PM - 6:00 PM,2023-09-08,2024-06-21,8 September 2023 to 21 June 2024,71991,2:30 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,Greenboro Cmty Centre,66599,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66599,30,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,2:30 PM - 6:00 PM,2023-09-01,2024-06-14,1 September 2023 to 14 June 2024,72001,2:30 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,Bob MacQuarrie Rec Cplx - Orléans,66607,"<div>Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.</div><div><br></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66607,30,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,3:00 PM - 6:00 PM,2023-09-08,2024-06-21,8 September 2023 to 21 June 2024,72009,3:00 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,Minto Rec Complex-Barrhaven,66615,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/66615,40,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,4:00 PM - 6:00 PM,2023-09-08,2024-06-21,8 September 2023 to 21 June 2024,72017,4:00 PM - 6:00 PM
After School Activity Club – Friday,At least 4 but less than 13,Hunt Club-Riverside Park Cmty Centre,54759,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Fridays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-friday/54759,4,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Fri,2:30 PM - 5:30 PM,2023-09-08,2024-06-21,8 September 2023 to 21 June 2024,60161,2:30 PM - 5:30 PM
After School Activity Club – Monday,At least 4 but less than 13,Hunt Club-Riverside Park Cmty Centre,54741,"Finish the school day with fun! Get active  with games and sports and be creative with arts and crafts. Some quiet time for  homework, too. Make new friends when you join our Club. Registration is for  Mondays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-monday/54741,4,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Mon,2:30 PM - 5:30 PM,2023-09-11,2024-06-24,11 September 2023 to 24 June 2024,60143,2:30 PM - 5:30 PM
After School Activity Club – Monday,At least 4 but less than 13,Rideauview Cmty Centre,66628,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Mondays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-monday/66628,16,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Mon,2:30 PM - 6:00 PM,2023-09-11,2024-06-17,11 September 2023 to 17 June 2024,72030,2:30 PM - 6:00 PM
After School Activity Club – Monday,At least 4 but less than 13,Rideauview Cmty Centre,66620,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Mondays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-monday/66620,16,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Mon,2:30 PM - 6:00 PM,2023-09-11,2024-06-24,11 September 2023 to 24 June 2024,72022,2:30 PM - 6:00 PM
After School Activity Club – Monday,At least 4 but less than 13,Minto Rec Complex-Barrhaven,66609,"<font face=""Calibri, sans-serif""><span style=""font-size: 14.6667px;"">Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Mondays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.</span></font>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-monday/66609,40,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Mon,4:00 PM - 6:00 PM,2023-09-11,2024-06-24,11 September 2023 to 24 June 2024,72011,4:00 PM - 6:00 PM
After School Activity Club – Monday,At least 4 but less than 13,Bob MacQuarrie Rec Cplx - Orléans,66601,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Mondays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-monday/66601,30,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Mon,3:00 PM - 6:00 PM,2023-09-11,2024-06-24,11 September 2023 to 24 June 2024,72003,3:00 PM - 6:00 PM
After School Activity Club – Monday,At least 4 but less than 13,Greenboro Cmty Centre,66594,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Mondays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-monday/66594,30,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Mon,2:30 PM - 6:00 PM,2023-09-11,2024-06-24,11 September 2023 to 24 June 2024,71996,2:30 PM - 6:00 PM
After School Activity Club – Monday,At least 4 but less than 13,Greenboro Cmty Centre,66595,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Mondays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-monday/66595,30,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Mon,2:30 PM - 6:00 PM,2023-09-11,2024-06-17,11 September 2023 to 17 June 2024,71997,2:30 PM - 6:00 PM
After School Activity Club – Monday,At least 4 but less than 13,South Fallingbrook Cmty Centre,66554,"<div><span style=""background-color: white;"">Finish the school day with fun! Get active  with games and sports and be creative with arts and crafts. Some quiet time for  homework, too. Make new friends when you join our Club. Registration is for  Mondays only. The City of Ottawa is a registered HIGH FIVE® </span>organization. We commit to healthy child development and safety for children's recreation programs.</div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-monday/66554,24,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Mon,3:00 PM - 6:00 PM,2023-09-11,2024-06-24,11 September 2023 to 24 June 2024,71956,3:00 PM - 6:00 PM
After School Activity Club – Monday,At least 4 but less than 13,Walter Baker Sports Centre,66540,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Mondays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-monday/66540,30,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Mon,2:45 PM - 6:00 PM,2023-09-04,2024-06-24,4 September 2023 to 24 June 2024,71942,2:45 PM - 6:00 PM
After School Activity Club – Monday,At least 4 but less than 13,Rideauview Cmty Centre,66535,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Mondays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-monday/66535,16,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Mon,2:30 PM - 6:00 PM,2023-09-11,2024-06-24,11 September 2023 to 24 June 2024,71937,2:30 PM - 6:00 PM
After School Activity Club – Monday,At least 4 but less than 13,CardelRec Cplx (Goulbourn),66533,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Mondays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-monday/66533,20,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Mon,2:45 PM - 6:00 PM,2023-09-04,2024-06-17,4 September 2023 to 17 June 2024,71935,2:45 PM - 6:00 PM
After School Activity Club – Monday,At least 4 but less than 13,Manotick Cmty Centre,66523,"<div>Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Mondays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.</div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-monday/66523,25,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Mon,4:00 PM - 6:00 PM,2023-09-11,2024-06-24,11 September 2023 to 24 June 2024,71925,4:00 PM - 6:00 PM
After School Activity Club – Monday,At least 4 but less than 13,CardelRec Cplx (Goulbourn),66514,"Finish the school day with fun! Get active with games and sports and be creative with arts and crafts. Some quiet time for homework, too. Make new friends when you join our Club. Registration is for Mondays only. The City of Ottawa is a registered HIGH FIVE® organization. We commit to healthy child development and safety for children's recreation programs.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/after-school-activity-club-monday/66514,20,13,0,0,4,"Age at least 4 yrs but less than 13 yrs,",Mon,2:45 PM - 6:00 PM,2023-09-11,2024-06-24,11 September 2023 to 24 June 2024,71916,2:45 PM - 6:00 PM
